provider,package,tags,additional_options,comments
apt,python3-pip,any,,At top to allow for pip provider sooner. will need to link to /usr/local/bin/pip
apt,snap,any,,At top to allow for snap provider sooner.
apt,apt-file,any,,
apt,apt-transport-https,any,,
apt,curl,any,,
apt,dkms,any,,
snap,htop,any,,
apt,iotop,any,,
apt,neofetch,any,,Show Linux System Information with Distribution Logo
apt,rename,any,,
apt,sysstat,any,,
apt,tree,any,,
apt,vim,any,,
